url,source,publish_date,year,month,slug,clean_headline,similarity_score
https://www.antaranews.com/berita/4979969/bapanas-tekankan-pentingnya-akurasi-penyaluran-beras-sphp,antaranews.com,2025-07-21,2025,7,bapanas tekankan pentingnya akurasi penyaluran beras sphp,bapanas tekankan pentingnya akurasi penyaluran beras sphp,0.7087275
https://www.antaranews.com/berita/5046049/simak-daftar-lengkap-harga-emas-di-pegadaian-hari-ini,antaranews.com,2025-08-18,2025,8,simak daftar lengkap harga emas di pegadaian hari ini,simak daftar lengkap harga emas di pegadaian hari ini,0.71222013
https://www.antaranews.com/berita/5046097/emas-antam-hari-ini-turun-menjadi-rp1894-juta-gram,antaranews.com,2025-08-18,2025,8,emas antam hari ini turun menjadi rp1894 juta gram,emas antam hari ini turun menjadi rp juta gram,0.7936251
https://jogja.antaranews.com/berita/771048/emas-antam-hari-ini-turun-tipis-rp3000-ke-rp2171-jutagram,antaranews.com,2025-09-25,2025,9,emas antam hari ini turun tipis rp3000 ke rp2171 jutagram,emas antam hari ini turun tipis rp ke rp jutagram,0.80999833
https://www.antaranews.com/berita/5154401/ekonom-nilai-tudingan-mbg-sebabkan-kenaikan-harga-ayam-tidak-berdasar,antaranews.com,2025-10-05,2025,10,ekonom nilai tudingan mbg sebabkan kenaikan harga ayam tidak berdasar,ekonom nilai tudingan mbg sebabkan kenaikan harga ayam tidak berdasar,0.7041369
https://www.antaranews.com/berita/4785289/harga-emas-antam-ubs-galeri24-di-pegadaian-kompak-melonjak-pada-selasa,antaranews.com,2025-04-22,2025,4,harga emas antam ubs galeri24 di pegadaian kompak melonjak pada selasa,harga emas antam ubs galeri di pegadaian kompak melonjak pada selasa,0.720671
https://www.antaranews.com/berita/5243629/emas-antam-sabtu-ini-anjlok-rp50000-ke-angka-rp2348-juta-gram,antaranews.com,2025-11-15,2025,11,emas antam sabtu ini anjlok rp50000 ke angka rp2348 juta gram,emas antam sabtu ini anjlok rp ke angka rp juta gram,0.8788467
https://www.antaranews.com/berita/5262245/wamendagri-ungkap-emas-jadi-penyumbang-terbesar-inflasi,antaranews.com,2025-11-24,2025,11,wamendagri ungkap emas jadi penyumbang terbesar inflasi,wamendagri ungkap emas jadi penyumbang terbesar inflasi,0.8236996
https://www.antaranews.com/berita/5184933/harga-tiga-jenama-emas-di-pegadaian-senin-ini-kompak-stabil,antaranews.com,2025-10-20,2025,10,harga tiga jenama emas di pegadaian senin ini kompak stabil,harga tiga jenama emas di pegadaian senin ini kompak stabil,0.7349585
https://www.antaranews.com/berita/4780521/harga-emas-antam-pada-sabtu-stabil-di-angka-rp1965-juta-per-gram,antaranews.com,2025-04-19,2025,4,harga emas antam pada sabtu stabil di angka rp1965 juta per gram,harga emas antam pada sabtu stabil di angka rp juta per gram,0.93192774
https://www.antaranews.com/berita/4780505/harga-emas-di-pegadaian-kompak-turun-hingga-rp11000-pada-sabtu,antaranews.com,2025-04-19,2025,4,harga emas di pegadaian kompak turun hingga rp11000 pada sabtu,harga emas di pegadaian kompak turun hingga rp pada sabtu,0.8700507
https://www.antaranews.com/berita/5058541/emas-antam-hari-ini-naik-rp17000-ke-angka-rp1933-juta-gram,antaranews.com,2025-08-23,2025,8,emas antam hari ini naik rp17000 ke angka rp1933 juta gram,emas antam hari ini naik rp ke angka rp juta gram,0.85589665
https://www.antaranews.com/berita/4796577/mentan-tegaskan-peran-krusial-37-ribu-ppl-kawal-swasembada-pangan,antaranews.com,2025-04-26,2025,4,mentan tegaskan peran krusial 37 ribu ppl kawal swasembada pangan,mentan tegaskan peran krusial ribu ppl kawal swasembada pangan,0.73022276
https://investasi.kontan.co.id/news/harga-emas-hari-ini-di-pegadaian-sabtu-2642025-antam-ubs-galeri-24,kontan.co.id,2025-04-26,2025,4,harga emas hari ini di pegadaian sabtu 2642025 antam ubs galeri 24,harga emas hari ini di pegadaian sabtu antam ubs galeri,0.78098315
https://www.antaranews.com/berita/5099273/wamentan-sudaryono-tegaskan-negara-hadir-jaga-stabilitas-harga-pangan,antaranews.com,2025-09-10,2025,9,wamentan sudaryono tegaskan negara hadir jaga stabilitas harga pangan,wamentan sudaryono tegaskan negara hadir jaga stabilitas harga pangan,0.86907476
https://www.antaranews.com/berita/4811765/harga-emas-di-pegadaian-kompak-turun-rp10000-per-gram-pada-minggu,antaranews.com,2025-05-04,2025,5,harga emas di pegadaian kompak turun rp10000 per gram pada minggu,harga emas di pegadaian kompak turun rp per gram pada minggu,0.76107687
https://www.antaranews.com/berita/4561054/bps-emas-perhiasan-sumbang-inflasi-tertinggi-di-aceh-pada-desember,antaranews.com,2025-01-02,2025,1,bps emas perhiasan sumbang inflasi tertinggi di aceh pada desember,bps emas perhiasan sumbang inflasi tertinggi di aceh pada desember,0.70863456
https://www.antaranews.com/berita/4871513/harga-emas-antam-ubs-galeri24-di-pegadaian-hari-ini-stabil,antaranews.com,2025-06-02,2025,6,harga emas antam ubs galeri24 di pegadaian hari ini stabil,harga emas antam ubs galeri di pegadaian hari ini stabil,0.7590123
https://www.antaranews.com/berita/4993497/emas-di-pegadaian-hari-ini-kompak-turun-lagi-hingga-rp15000-gram,antaranews.com,2025-07-25,2025,7,emas di pegadaian hari ini kompak turun lagi hingga rp15000 gram,emas di pegadaian hari ini kompak turun lagi hingga rp gram,0.83386594
https://www.antaranews.com/berita/4871589/harga-emas-antam-hari-ini-naik-rp17000-ke-rp1905-juta-per-gram,antaranews.com,2025-06-02,2025,6,harga emas antam hari ini naik rp17000 ke rp1905 juta per gram,harga emas antam hari ini naik rp ke rp juta per gram,0.8984868
https://www.antaranews.com/berita/4995921/harga-emas-galeri24-dan-ubs-di-pegadaian-hari-ini-kompak-stabil,antaranews.com,2025-07-28,2025,7,harga emas galeri24 dan ubs di pegadaian hari ini kompak stabil,harga emas galeri dan ubs di pegadaian hari ini kompak stabil,0.7926613
https://pusatdata.kontan.co.id/news/grafik-harga-emas-antam-hari-ini-naik-atau-turun-8-juni-2025,kontan.co.id,2025-06-08,2025,6,grafik harga emas antam hari ini naik atau turun 8 juni 2025,grafik harga emas antam hari ini naik atau turun juni,0.7204829
https://www.antaranews.com/berita/5062217/divisi-humas-polri-gelar-gpm-dukung-stabilisasi-harga-pangan,antaranews.com,2025-08-25,2025,8,divisi humas polri gelar gpm dukung stabilisasi harga pangan,divisi humas polri gelar gpm dukung stabilisasi harga pangan,0.8367913
https://www.antaranews.com/berita/4966841/kemendag-hpe-konsentrat-tembaga-turun-akibat-dinamika-harga-emas,antaranews.com,2025-07-15,2025,7,kemendag hpe konsentrat tembaga turun akibat dinamika harga emas,kemendag hpe konsentrat tembaga turun akibat dinamika harga emas,0.7053153
https://investasi.kontan.co.id/news/begini-cara-beli-emas-antam-logam-mulia-harga-emas-antam-hari-ini-rp-1960000,kontan.co.id,2025-04-28,2025,4,begini cara beli emas antam logam mulia harga emas antam hari ini rp 1960000,begini cara beli emas antam logam mulia harga emas antam hari ini rp,0.8164639
https://www.antaranews.com/berita/4966801/harga-emas-antam-hari-ini-turun-rp10000-ke-angka-rp1914-juta-gram,antaranews.com,2025-07-15,2025,7,harga emas antam hari ini turun rp10000 ke angka rp1914 juta gram,harga emas antam hari ini turun rp ke angka rp juta gram,0.8490444
https://pusatdata.kontan.co.id/news/grafik-harga-emas-antam-hari-ini-naik-atau-turun-28-maret-2025,kontan.co.id,2025-03-28,2025,3,grafik harga emas antam hari ini naik atau turun 28 maret 2025,grafik harga emas antam hari ini naik atau turun maret,0.7417186
https://www.antaranews.com/berita/4605538/harga-emas-antam-naik-tipis-jadi-rp1608-juta-per-gram,antaranews.com,2025-01-24,2025,1,harga emas antam naik tipis jadi rp1608 juta per gram,harga emas antam naik tipis jadi rp juta per gram,0.9036066
https://www.antaranews.com/berita/5027433/harga-emas-di-pegadaian-hari-ini-fluktuatif,antaranews.com,2025-08-09,2025,8,harga emas di pegadaian hari ini fluktuatif,harga emas di pegadaian hari ini fluktuatif,0.7661055
https://www.antaranews.com/berita/5199269/harga-emas-di-pegadaian-hari-ini-kompak-turun-tipis,antaranews.com,2025-10-25,2025,10,harga emas di pegadaian hari ini kompak turun tipis,harga emas di pegadaian hari ini kompak turun tipis,0.89458406
https://economy.okezone.com/read/2025/03/31/320/3127427/bps-soroti-harga-pangan-hingga-penjualan-mukena-dan-sarung-di-lebaran-2025,okezone.com,2025-03-31,2025,3,bps soroti harga pangan hingga penjualan mukena dan sarung di lebaran 2025,bps soroti harga pangan hingga penjualan mukena dan sarung di lebaran,0.741233
https://jogja.antaranews.com/berita/767905/harga-produk-emas-di-pegadaian-11-september-kompak-turun,antaranews.com,2025-09-11,2025,9,harga produk emas di pegadaian 11 september kompak turun,harga produk emas di pegadaian september kompak turun,0.811619
https://www.antaranews.com/berita/4612114/pt-berdikari-komitmen-dukung-ketahanan-pangan-hingga-mbg,antaranews.com,2025-01-28,2025,1,pt berdikari komitmen dukung ketahanan pangan hingga mbg,pt berdikari komitmen dukung ketahanan pangan hingga mbg,0.741248
