year_month,insei_indobert_raw,insei_indolem_raw,insei_mdeberta_raw,insei_gemini_raw,insei_indobert_norm,insei_indobert_smooth,insei_indobert_lagged,insei_indobert_final,insei_indolem_norm,insei_indolem_smooth,insei_indolem_lagged,insei_indolem_final,insei_mdeberta_norm,insei_mdeberta_smooth,insei_mdeberta_lagged,insei_mdeberta_final,insei_gemini_norm,insei_gemini_smooth,insei_gemini_lagged,insei_gemini_final,insei_indobert_lagged_raw,insei_indolem_lagged_raw,insei_mdeberta_lagged_raw,insei_gemini_lagged_raw,Rate,year_month_str,year_month_dt
2017-07,-0.07891171051219512,0.011875888292682907,-0.05058395870731705,0.04878048780487804,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.018023882711538486,0.26460788917307687,0.22202304034615386,0.23076923076923075,0.22,2017-07,2017-07-01
2017-08,-0.052705258879999994,0.018443847720000017,-0.05175810838,0.03999999999999998,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.09898365653703697,0.22911547661851853,0.14289158314814812,0.2962962962962963,-0.07,2017-08,2017-08-01
2017-09,0.044485636250000016,0.11516749195833337,0.09565710125000004,0.25,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,-0.07891171051219512,0.011875888292682907,-0.05058395870731705,0.04878048780487804,0.13,2017-09,2017-09-01
2017-10,-0.026432470142857156,0.0434178828857143,0.02615835744897954,0.08163265306122447,-0.4089704748986103,-0.1363234916328701,0.0,50.0,-0.6396964150601183,-0.21323213835337276,0.0,50.0,-0.345578875348756,-0.11519295844958533,0.0,50.0,-0.6712474982618075,-0.22374916608726916,0.0,50.0,-0.052705258879999994,0.018443847720000017,-0.05175810838,0.03999999999999998,0.01,2017-10,2017-10-01
2017-11,-0.12447851693877551,0.05361687459183673,-0.018198729020408172,0.163265306122449,-1.3992802163848332,-0.6027502304278145,0.0,50.0,-0.500887135340915,-0.38019451680034444,0.0,50.0,-0.6725082653214334,-0.33936238022339643,0.0,50.0,0.04421428135214677,-0.20901107230322025,0.0,50.0,0.044485636250000016,0.11516749195833337,0.09565710125000004,0.25,0.2,2017-11,2017-11-01
2017-12,0.04605694993939394,0.12293982487878788,0.10762584945454545,0.18181818181818182,0.7452938448684001,-0.35431894880501447,-0.1363234916328701,48.6367650836713,0.16272294232566478,-0.32595353602512284,-0.21323213835337276,47.86767861646627,0.4887738301087206,-0.17643777018715623,-0.11519295844958533,48.84807041550415,0.21002049046635704,-0.13900424214776788,-0.22374916608726916,47.76250833912731,-0.026432470142857156,0.0434178828857143,0.02615835744897954,0.08163265306122447,0.71,2017-12,2017-12-01
2018-01,0.04229583512857138,0.13468293150000005,0.15993447264285715,0.24285714285714285,0.6408231571164956,-0.004387738133312502,-0.6027502304278145,43.972497695721856,0.27006985381894577,-0.022698113065434827,-0.38019451680034444,46.19805483199656,0.908614739882373,0.24162676822322007,-0.33936238022339643,46.60637619776604,0.7673223543479062,0.34051904205547,-0.20901107230322025,47.909889276967796,-0.12447851693877551,0.05361687459183673,-0.018198729020408172,0.163265306122449,0.62,2018-01,2018-01-01
2018-02,-0.033255641641509376,0.0742413006226415,0.0516676838113207,0.11320754716981132,-0.39084201740842645,0.3317583281921565,-0.35431894880501447,46.456810511949854,-0.38121160030118084,0.017193731947809893,-0.32595353602512284,46.74046463974877,-0.18129369346917612,0.4053649588406392,-0.17643777018715623,48.23562229812844,-0.5700445481999094,0.1357660988714513,-0.13900424214776788,48.60995757852232,0.04605694993939394,0.12293982487878788,0.10762584945454545,0.18181818181818182,0.17,2018-02,2018-02-01
2018-03,0.016936136470588226,0.0676167097941176,0.0933380693382353,0.11764705882352941,0.32856596287280526,0.19284903419362487,-0.004387738133312502,49.956122618666875,-0.43500443938316163,-0.1820487286217989,-0.022698113065434827,49.77301886934565,0.25438173300053474,0.3272342598045772,0.24162676822322007,52.4162676822322,-0.4925975886739402,-0.09843992750864779,0.34051904205547,53.4051904205547,0.04229583512857138,0.13468293150000005,0.15993447264285715,0.24285714285714285,0.2,2018-03,2018-03-01
2018-04,0.12792032842424242,0.35032958773484846,0.21905299237878786,0.3939393939393939,1.6646782601047347,0.5341340685230379,0.3317583281921565,53.317583281921564,2.141413127400861,0.4417323625721728,0.017193731947809893,50.1719373194781,1.4348910886948203,0.5026597094087263,0.4053649588406392,54.053649588406394,1.9999693495200412,0.31244240421539726,0.1357660988714513,51.357660988714514,-0.033255641641509376,0.0742413006226415,0.0516676838113207,0.11320754716981132,0.1,2018-04,2018-04-01
2018-05,0.182630163765,0.337203921155,0.2825006497,0.4,1.9079559729159272,1.3004000652978223,0.19284903419362487,51.92849034193625,1.6792296552538395,1.1285461144238462,-0.1820487286217989,48.17951271378201,1.7326127335933559,1.1406285184295704,0.3272342598045772,53.272342598045775,1.7034446493715203,1.070272136739207,-0.09843992750864779,49.015600724913526,0.016936136470588226,0.0676167097941176,0.0933380693382353,0.11764705882352941,0.21,2018-05,2018-05-01
